175,1.0023,0.7152,1.401,1.182,1.593,0.744,0.586,2.017
200,1.0025,0.7154,1.401,1.329,1.809,0.736,0.753,1.765
225,1.0027,0.7156,1.401,1.467,2.02,0.728,0.935,1.569
250,1.0031,0.716,1.401,1.599,2.227,0.72,1.132,1.412
275,1.0038,0.7167,1.401,1.725,2.428,0.713,1.343,1.284
300,1.0049,0.7178,1.4,1.846,2.624,0.707,1.568,1.177
325,1.0063,0.7192,1.4,1.962,2.816,0.701,1.807,1.086
350,1.0082,0.7211,1.398,2.075,3.003,0.697,2.056,1.009
375,1.0106,0.7235,1.397,2.181,3.186,0.692,2.317,0.9413
400,1.0135,0.7264,1.395,2.286,3.365,0.688,2.591,0.8824
450,1.0206,0.7335,1.391,2.485,3.71,0.684,3.168,0.7844
500,1.0295,0.7424,1.387,2.67,4.041,0.68,3.782,0.706
550,1.0398,0.7527,1.381,2.849,4.357,0.68,4.439,0.6418
600,1.0511,0.764,1.376,3.017,4.661,0.68,5.128,0.5883
650,1.0629,0.7758,1.37,3.178,4.954,0.682,5.853,0.543
700,1.075,0.7879,1.364,3.332,5.236,0.684,6.607,0.5043
750,1.087,0.7999,1.359,3.482,5.509,0.687,7.399,0.4706
800,1.0987,0.8116,1.354,3.624,5.774,0.69,8.214,0.4412
850,1.1101,0.823,1.349,3.763,6.03,0.693,9.061,0.4153
900,1.1209,0.8338,1.344,3.897,6.276,0.696,9.936,0.3922
950,1.1313,0.8442,1.34,4.026,6.52,0.699,10.83,0.3716
1000,1.1411,0.854,1.336,4.153,6.754,0.702,11.76,0.353
1050,1.1502,0.8631,1.333,4.276,6.985,0.704,12.72,0.3362
1100,1.1589,0.8718,1.329,4.396,7.209,0.707,13.7,0.3209
1150,1.167,0.8799,1.326,4.511,7.427,0.709,14.7,0.3069
1200,1.1746,0.8875,1.323,4.626,7.64,0.711,15.73,0.2941
1250,1.1817,0.8946,1.321,4.736,7.849,0.713,16.77,0.2824
1300,1.1884,0.9013,1.319,4.846,8.054,0.715,17.85,0.2715
1350,1.1946,0.9075,1.316,4.952,8.253,0.717,18.94,0.2615
1400,1.2005,0.9134,1.314,5.057,8.45,0.719,20.06,0.2521
1500,1.2112,0.9241,1.311,5.264,8.831,0.722,22.36,0.2353
1600,1.2207,0.9336,1.308,5.457,9.199,0.724,24.74,0.2206
1700,1.2293,0.9422,1.305,5.646,9.554,0.726,27.2,0.2076
1800,1.237,0.9499,1.302,5.829,9.899,0.728,29.72,0.1961
1900,1.244,0.9569,1.3,6.008,10.233,0.73,32.34,0.1858
